original_composition,status,material_id,e_above_hull,saved_filename
Li4SnS4,Success,mp-1195718,0.0,Li4SnS4_mp-1195718.cif
Li6.4La3Zr2Ga0.2O12 ,Not Found,,,
Li2SnS3,Success,mp-1190364,0.0006651347916660001,Li2SnS3_mp-1190364.cif
Li3PS4,Success,mp-985583,0.0,Li3PS4_mp-985583.cif
Li6.5La3Nb1.25Y0.75O12 ,Not Found,,,
Li6La3Nb1.5Y0.5O12 ,Not Found,,,
Li6.5La3Zr1.5Ta0.5O12 ,Not Found,,,
Li6.6La3Zr1.6Ta0.4O12 ,Not Found,,,
Li6.7La3Zr1.7Ta0.3O12,Not Found,,,
Li6.2La3Zr1.2Ta0.8O12 ,Not Found,,,
Li6.8La3Zr1.8Ta0.2O12 ,Not Found,,,
Li6La3ZrTaO12 ,Not Found,,,
Li6.6La3Zr1.6Sb0.4O12,Not Found,,,
Li6.4La3Zr1.4Sb0.6O12 ,Not Found,,,
